,모집 제목,회사,link,위치,필요 조건,마감일
17,(주) AI 개발자 채용(신입/경력),(주)그림,/zf_user/jobs/relay/view?view_type=search&rec_idx=52869086&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기광명시,경력무관 학력무관 정규직·계약직,02/19
18,증권금융IT 전문기업 금융솔루션 AI 개발자 모집,㈜한국금융IT,/zf_user/jobs/relay/view?view_type=search&rec_idx=52921984&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,경력무관 대졸↑ 정규직,02/28
19,부설연구소 백엔드 개발자 모집,(주)조은아이앤에스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52920526&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,경력무관 대졸↑ 정규직,03/27
20,[유니포스트] SAP ABAP 신입 개발자 채용,(주)유니포스트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52937093&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,"신입 학력무관 정규직 3,700 만원",02/06
21,"소프트웨어 개발자 모집 (신입, 경력)",(주)합동전자산업,/zf_user/jobs/relay/view?view_type=search&rec_idx=52590291&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,경력무관 대졸↑ 정규직,01/30
22,[중견/IT] 데이타솔루션 개발자 / 데이터 엔지니어 채용,(주)데이타솔루션,/zf_user/jobs/relay/view?view_type=search&rec_idx=52864859&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,신입·경력 초대졸↑ 정규직,02/18
23,연구과제 개발자(전문연구요원),(주)시선에이아이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52937212&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,신입·경력 석사↑ 정규직,02/25
24,[상암/방송사]SBS 어플 앱 개발자 채용[긴급],(주)인코스파트너스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52905834&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울마포구,경력무관 학력무관 파견직 255 만원,02/07
25,2026년 상반기 웹개발자 모집( 신입/경력),크림하우스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52712408&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,신입·경력 초대졸↑ 정규직,02/01
26,Node.js (풀스택/FE/BE) 개발자,(주)하이컨시,/zf_user/jobs/relay/view?view_type=search&rec_idx=52937223&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력1년↑ 학력무관 기간제·계약직,02/26
27,에이아이티스토리 개발자 신입/경력 채용 (플랫폼 개발자),에이아이티스토리(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52907770&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울마포구,경력무관 대졸↑ 정규직·계약직,02/22
28,넥사크로 및 JAVA 개발자  모집,(주)유비텍,/zf_user/jobs/relay/view?view_type=search&rec_idx=52931454&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,대구남구,"신입·경력 대졸↑ 기간제·무기계약직 4,000 만원",03/28
29,AI 어플리케이션 개발자 모집,(주)엘핀,/zf_user/jobs/relay/view?view_type=search&rec_idx=52609218&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강서구,신입·경력 대졸↑ 정규직,02/17
30,국방사업 소프트웨어(C++/C#) 개발자 채용,(주)유니텍,/zf_user/jobs/relay/view?view_type=search&rec_idx=52746916&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력무관 학력무관 정규직,01/30
31,웹 개발자 모집 (3명),(주)나노아이티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52921052&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,대구수성구,경력 학력무관 정규직,02/06
32,[데브옵스 팀] 사내 플랫폼 개발자 (React 중심 Full-stack),(주)셀파소프트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52930547&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,신입·경력 대졸↑ 정규직,02/13
33,[웹 프런트엔드] 개발자 채용(Web Publishing & UI/UX 겸임),제노소프트(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52877379&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,"경력무관 대졸↑ 정규직 3,600 만원",01/30
34,[KS] 2026 상반기 전 부문 채용(영상기획/어드민/CS/정산/개발자),(주)케이에스오토플랜,/zf_user/jobs/relay/view?view_type=search&rec_idx=52904614&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,인천연수구,신입·경력 학력무관 정규직,02/22
35,더 신전 메뉴개발자 채용,(주)더신전,/zf_user/jobs/relay/view?view_type=search&rec_idx=52903529&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경북전체,신입·경력 학력무관 정규직·계약직,02/12
36,로보테크 AI 자율주행 로봇 개발자 과정 교육생 모집,미래융합교육원,/zf_user/jobs/relay/view?view_type=search&rec_idx=52782209&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,대전서구,경력무관 대졸↑ 교육생,03/02
37,AI 개발자 채용,플랜트인사이트 주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52945565&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울마포구,신입·경력 대졸↑ 정규직,02/27
38,(주)올티칭 백엔드 개발자 모집,(주)올티칭,/zf_user/jobs/relay/view?view_type=search&rec_idx=52848153&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,경력무관 학력무관 정규직,01/30
39,사내 제조·품질관리 시스템 풀스택 개발자 채용,(주)유에스티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52925276&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기화성시,신입 학력무관 정규직,02/06
40,JAVA 웹 개발자 신입 채용 (SI/SM),(주)이트리즈시스템,/zf_user/jobs/relay/view?view_type=search&rec_idx=52639741&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울구로구,신입 초대졸↑ 정규직,01/30
41,"[PNS] Node, React 개발자 신입/경력사원 모집",(주)파워엔솔루션,/zf_user/jobs/relay/view?view_type=search&rec_idx=52934807&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울서초구,경력무관 대졸↑ 정규직,03/28
42,SW개발팀 JAVA · Delphi 개발자 모집,(주)상림기술,/zf_user/jobs/relay/view?view_type=search&rec_idx=52935950&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기광명시,신입·경력 초대졸↑ 계약직,01/30
43,(주)아이웹 26년 상반기  웹/앱 플랫폼 개발자 모집,(주)아이웹,/zf_user/jobs/relay/view?view_type=search&rec_idx=52847378&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울마포구,경력무관 학력무관 정규직,03/17
44,"[금융투자시스템] 소프트웨어 개발자 채용 (Python, Java, C++)",(주)폴라리스투자자문,/zf_user/jobs/relay/view?view_type=search&rec_idx=52859451&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,"신입 대졸↑ 정규직 4,500 만원",01/30
45,(주)나눔기술 소프트웨어 개발자 신입사원 모집,㈜나눔기술,/zf_user/jobs/relay/view?view_type=search&rec_idx=52460983&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,"신입 대졸↑ 정규직 4,000 만원",01/31
46,[웹개발] WEB 개발자 채용,㈜타임텍,/zf_user/jobs/relay/view?view_type=search&rec_idx=52931286&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,부산해운대구,경력1년↑ 대졸↑ 정규직,02/26
47,[디파인시스템(주)] 2026년 신입 및 경력 S/W 개발자 채용,디파인시스템(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52933827&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경남창원시,경력무관 학력무관 정규직,02/10
48,시스템 개발 및 운영 (Java 개발자) 채용,(주)위키드스톰,/zf_user/jobs/relay/view?view_type=search&rec_idx=52934747&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,경력3년↑ 초대졸↑ 정규직,02/26
49,[신입/경력] 코드넛과 함께 성장할 프론트개발자 구인,(주)코드넛,/zf_user/jobs/relay/view?view_type=search&rec_idx=52924592&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력무관 학력무관 정규직,03/27
50,[신입/경력] 코드넛과 함께 성장할 백앤드 개발자 구인,(주)코드넛,/zf_user/jobs/relay/view?view_type=search&rec_idx=52924545&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력무관 학력무관 정규직,03/27
51,[신입] 개발자 채용,FCG,/zf_user/jobs/relay/view?view_type=search&rec_idx=52507610&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기광명시,신입 대졸↑ 정규직,02/06
52,IT 개발자 신입 인턴 채용,(주)엑심베이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52699030&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울구로구,신입 초대졸↑ 인턴직,01/30
53,[신입/경력] 핀테크 웹 어플리케이션 개발자,(주)지엔이테크홀딩스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52738506&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울관악구,"경력무관 학력무관 정규직 3,800 만원",02/05
54,SDM실 상반기 개발자/퍼블리셔 채용 공고,(주)일주지앤에스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52923363&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,부산동래구,경력3년↑ 학력무관 정규직,03/27
55,[신입/경력] 아이케미스트 언리얼 클라이언트 개발자 채용 모집,(주)아이케미스트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52938331&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,경력무관 학력무관 정규직,01/30
56,[서울 가산]앱 개발자 경력직 채용,(주)쇼엠,/zf_user/jobs/relay/view?view_type=search&rec_idx=52917528&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,경력 3~10년 학력무관 정규직,02/25
57,(주)패스원 신규 웹 서비스 개발자 모집(신입/경력),(주)패스원,/zf_user/jobs/relay/view?view_type=search&rec_idx=52826022&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,"신입·경력 학력무관 정규직 3,500 만원",03/15
58,(주)넥스트이노베이션즈 풀스택 개발자 모집,(주)넥스트이노베이션즈,/zf_user/jobs/relay/view?view_type=search&rec_idx=52909573&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,경력무관 학력무관 정규직·계약직,02/22
59,열정 가득한 풀스택[Full-Stack] 개발자  모집,(주)넥스트코어테크놀로지,/zf_user/jobs/relay/view?view_type=search&rec_idx=52733369&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울송파구,경력무관 초대졸↑ 정규직,02/05
60,(주)네오스페이드 -Back-End 개발자 모집,주식회사네오스페이드(NeoSpadeCo..Ltd.),/zf_user/jobs/relay/view?view_type=search&rec_idx=52921922&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력무관 대졸↑ 정규직,02/13
61,(주)제이케이데이터시스템즈 프론트엔드 개발자 모집,(주)제이케이데이터시스템즈,/zf_user/jobs/relay/view?view_type=search&rec_idx=52920858&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,경력무관 학력무관 정규직,02/25
62,웹개발 / 모바일 앱개발/정규직 개발자,씨이엔코퍼레이션(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52934864&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기용인시 기흥구,경력3년↑ 학력무관 정규직,03/28
63,(주)콤프케어 안드로이드 개발자 모집(JAVA),(주)콤프케어,/zf_user/jobs/relay/view?view_type=search&rec_idx=52935475&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기부천시 원미구,"신입·경력 초대졸↑ 정규직 4,200 만원",02/13
64,백엔드 개발자 채용,(주)온디에이아이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52863267&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력무관 초대졸↑ 정규직·계약직,02/18
65,각 부문별 인재채용[개발자/영업자/콘텐츠/AE/중국/아시아],픽스업,/zf_user/jobs/relay/view?view_type=search&rec_idx=52823080&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,경기김포시,신입·경력 고졸↑ 정규직,02/15
66,프론트엔드 개발자 모집,망고클라우드(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52864825&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,부산북구,신입·경력 고졸↑ 정규직,02/17
67,백엔드 개발자 채용[신입],(주)건강누리,/zf_user/jobs/relay/view?view_type=search&rec_idx=52946372&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,신입 대졸↑ 정규직,02/26
68,[나눔비타민] 프론트엔드 개발자 채용 공고,(주)나눔비타민,/zf_user/jobs/relay/view?view_type=search&rec_idx=52897835&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울마포구,경력무관 학력무관 정규직,01/30
69,프론트엔드 개발자 모집,(주)제이디원,/zf_user/jobs/relay/view?view_type=search&rec_idx=52860253&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울금천구,경력무관 학력무관 정규직,02/18
70,함께 성장할 AI 백엔드 개발자를 찾습니다,(주)이매진팩토리,/zf_user/jobs/relay/view?view_type=search&rec_idx=52888975&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,"경력무관 학력무관 정규직 4,000 만원",02/21
71,JAVA 백엔드 웹개발자 채용,(주)유영인포테크,/zf_user/jobs/relay/view?view_type=search&rec_idx=52873221&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울영등포구,경력무관 학력무관 정규직,01/30
72,(주)호랑이얼굴 App 개발자 공개 채용(서울 근무 /계약직),(주)호랑이얼굴,/zf_user/jobs/relay/view?view_type=search&rec_idx=52920801&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력 대졸↑ 계약직,01/30
73,[똑똑홀딩스] 웹개발자 경력직 채용,(주)똑똑홀딩스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52921451&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=90456e0a-d27f-47c1-b8da-bee578c25aac,서울강남구,경력무관 초대졸↑ 계약직,03/27
