,모집 제목,회사,link,위치,필요 조건,마감일
2123,[판교] 백엔드 개발자 채용,미스터마인드(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52508784&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 분당구,경력5년↑ 초대졸↑ 정규직,01/30
2124,신속진단키트 개발자 채용,(주)올로스코프,/zf_user/jobs/relay/view?view_type=search&rec_idx=52542816&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 중원구,신입·경력 대졸↑ 정규직,01/30
2125,2026년 (상반기) Web 개발자 채용 공고 - 경력직(정규),(주)이룸커뮤니티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52544774&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,대구달서구,경력 5~20년 초대졸↑ 정규직,02/06
2126,언리얼엔진 AI 개발자 채용,(주)원니스코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=52681038&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력3년↑ 대졸↑ 정규직,01/30
2127,헬스케어 AI 개발자,(주)튜링바이오,/zf_user/jobs/relay/view?view_type=search&rec_idx=52567552&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 분당구,경력3년↑ 대졸↑ 정규직,01/30
2128,[AIRAR] 경력직 웹개발자 채용,(주)에어에이알,/zf_user/jobs/relay/view?view_type=search&rec_idx=52571494&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울마포구,경력3년↑ 초대졸↑ 정규직,01/31
2129,AI 개발자 채용 (경력직),(주)원니스코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=52580889&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력3년↑ 대졸↑ 정규직,01/30
2130,AI 연구원 및 개발자 채용,엘바(ELBA),/zf_user/jobs/relay/view?view_type=search&rec_idx=52570084&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울마포구,경력3년↑ 대졸↑ 정규직,01/30
2131,프리랜서 프론트엔드 개발자(유지보수 · 기능 개선) 공고,주식회사 071랩스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52640176&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력 학력무관 기간제·계약직,02/21
2132,의료용 소프트웨어 iOS 개발자를 모십니다,(주)스키아,/zf_user/jobs/relay/view?view_type=search&rec_idx=52629061&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울구로구,경력2년↑ 대졸↑ 정규직,02/20
2133,[단기 프로젝트] 프리랜서 웹 개발자(초급/중급) 모집,(주)트라이캐치,/zf_user/jobs/relay/view?view_type=search&rec_idx=52674326&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기하남시,경력 2~5년 초대졸↑ 계약직·프리랜서 500 만원,01/30
2135,(주)엑스티오 하드웨어 개발자 모집,(주)엑스티오,/zf_user/jobs/relay/view?view_type=search&rec_idx=52710405&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기용인시 기흥구,경력 3~8년 대졸↑ 정규직,03/03
2136,[앱개발] 앱 백엔드 개발자 채용 [경력 3년 이상],키즐링(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52739091&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울광진구,경력 3~8년 대졸↑ 정규직,01/31
2137,[에크네] 경력직 풀스택 개발자 채용,(주)에크네,/zf_user/jobs/relay/view?view_type=search&rec_idx=52729906&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울마포구,경력2년↑ 학력무관 정규직,02/04
2138,[DX솔루션] 임베디드 소프트웨어 개발자 모집(Junior),디엑스솔루션(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52741500&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 수정구,신입·경력 초대졸↑ 정규직,02/05
2139,강남앤인코누스(주) 앱 개발자 모집,강남앤인코누스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52753185&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,부산해운대구,경력2년↑ 학력무관 정규직,02/06
2140,"웹 기반 SaaS 솔루션, AI 연구개발자 채용",(주)에이아이지먼트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52779634&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울서초구,경력 4~8년 대졸↑ 정규직,02/28
2141,[CNAI]백엔드 개발자 정규직 채용,(주)씨앤에이아이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52768594&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강서구,경력3년↑ 대졸↑ 정규직,02/07
2142,전력전자 장비 운영 제어 시스템 개발자 모집,언브릿지(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52782944&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,대구서구,경력3년↑ 대졸↑ 정규직,02/08
2143,[CNAI] 프론트엔드 개발자 정규직 채용,(주)씨앤에이아이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52768598&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강서구,경력3년↑ 학력무관 정규직,02/07
2144,(주)더블유엔피 상반기 SW개발자 경력직 채용,(주)더블유엔피,/zf_user/jobs/relay/view?view_type=search&rec_idx=52777157&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,울산중구,경력 2~5년 학력무관 정규직,02/06
2145,풀 스택 개발자 채용,모나(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52801517&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기광명시,경력2년↑ 대졸↑ 정규직,02/12
2146,윈도우(Windows) 기반 보안 솔루션 개발자 채용,에스프레스토(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52808437&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울마포구,경력3년↑ 학력무관 정규직,01/30
2147,면역진단 센서 개발자 채용공고,(주)고스마바이오사이언스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52829384&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울동대문구,경력3년↑ 석사↑ 정규직,03/16
2148,AMD SoC HW 개발자  수석연구원급,(주)코리아휴먼리소시스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52855180&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기이천시,경력10년↑ 대졸↑ 정규직,02/17
2149,AMD SoC HW 개발자  책임연구원,(주)코리아휴먼리소시스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52855171&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기이천시,경력5년↑ 대졸↑ 정규직,02/17
2150,유무선통신 AMD SoC HW 개발자  책임연구원급,(주)코리아휴먼리소시스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52855179&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기이천시,경력5년↑ 대졸↑ 정규직,02/17
2151,"Soft3.0 Co., Ltd. SW 개발자 모집","Soft3.0 Co., Ltd.",/zf_user/jobs/relay/view?view_type=search&rec_idx=52876114&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,충남아산시,경력 2~10년 학력무관 정규직,02/19
2152,[정규직/계약직] X-ray 영상 처리 개발자 (경력 8년 이상),(주)메디브,/zf_user/jobs/relay/view?view_type=search&rec_idx=52886941&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,충북청주시 흥덕구,경력8년↑ 대졸↑ 정규직·계약직,02/20
2153,ios 러닝 앱 개발자 경력 (1~3년),(주)러닝포인트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52875654&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울전체,경력 1~3년 대졸↑ 정규직,02/18
2154,[예비유니콘] 키오스크 시스템 SW 개발자 모집(계약직),(주)닷,/zf_user/jobs/relay/view?view_type=search&rec_idx=52910072&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력7년↑ 학력무관 계약직,02/27
2155,반도체 보안칩 SW 개발자 15년 이하,(주)코리아휴먼리소시스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52941828&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력5년↑ 대졸↑ 정규직,02/27
2156,[판교 의료기기] 백엔드 개발자 채용(경력),(주)와이브레인,/zf_user/jobs/relay/view?view_type=search&rec_idx=52613570&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 수정구,경력 5~15년 대졸↑ 정규직,01/30
2157,[덱스터크레마/경력] IT개발자 채용,(주)덱스터크레마,/zf_user/jobs/relay/view?view_type=search&rec_idx=52643481&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울성동구,경력 4~5년 학력무관 정규직,02/21
2158,"IP카메라, NVR, DVR 장비 개발자 연구원 모집",이화트론,/zf_user/jobs/relay/view?view_type=search&rec_idx=52518044&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울금천구,경력2년↑ 학력무관 정규직·프리랜서,01/30
2159,[디지털팜] AI 인공지능 개발자 채용,(주)디지털팜,/zf_user/jobs/relay/view?view_type=search&rec_idx=52570710&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울서초구,경력3년↑ 대졸↑ 계약직,02/13
2160,[이음길HR] R&D본부  플랫폼팀 개발자 경력 채용,(주)이음길에이치알,/zf_user/jobs/relay/view?view_type=search&rec_idx=52700433&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력무관 대졸↑ 정규직,01/30
2161,[DROP] 프론트엔드(React Native 앱 )  개발자모집,(주)드랍,/zf_user/jobs/relay/view?view_type=search&rec_idx=52704220&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기안산시 단원구,경력5년↑ 초대졸↑ 정규직,01/30
2162,[이지서티] AI 개발자 경력직 채용,(주)이지서티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52707098&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울서초구,경력3년↑ 대졸↑ 정규직,03/03
2163,C/C++ 정규직 개발자 모집,(주)아이티에스엔지,/zf_user/jobs/relay/view?view_type=search&rec_idx=52755713&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울용산구,"경력무관 초대졸↑ 정규직 3,500 만원",01/30
2164,통신장비 SW(Linux/RTOS) 개발자 채용 (LS-Electric 자회사),(주)에이씨앤티시스템,/zf_user/jobs/relay/view?view_type=search&rec_idx=52745819&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기안양시 동안구,경력5년↑ 초대졸↑ 정규직,03/06
2165,무인 축사 플랫폼을 위한 MLOps 개발자 채용,(주)로봇웨어에이아이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52764261&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,대전유성구,경력3년↑ 대졸↑ 정규직,03/08
2166,시니어 리액트 네이티브 & 프론트엔드 개발자 채용,(주)써틴컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=52770040&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울영등포구,경력 5~20년 학력무관 정규직,02/07
2167,(주)아임잇 경력 EAI 부분 SM/SI 개발자 모집 (Java),(주)아임잇,/zf_user/jobs/relay/view?view_type=search&rec_idx=52780737&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울금천구,경력5년↑ 학력무관 정규직,02/11
2168,[외국계 대형 보험사] 영업 플랫폼 시스템 개발자 모집,(주)리앤파트너,/zf_user/jobs/relay/view?view_type=search&rec_idx=52810327&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울금천구,경력 7~19년 대졸↑ 정규직,01/30
2169,[AI 개발자] 소프트웨어 엔지니어 (책임 연구원) 채용,(주)로봇웨어에이아이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52802096&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,대전유성구,경력3년↑ 대졸↑ 정규직,03/13
2170,[서울/보안팹리스/코스닥상장사] VPN 솔루션 개발자 채용,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52819141&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력 3~10년 초대졸↑ 정규직,01/30
2171,[서울/보안팹리스/상장사] 보안칩 SW개발자 채용,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52819170&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력 5~15년 대졸↑ 정규직,01/30
2172,[서울/보안팹리스/코스닥상장] SoC 칩 개발자 채용,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52819149&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력 10~15년 대졸↑ 정규직,01/30
2173,PCB 개발자[경력],(주)스트라티오코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=52822490&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시,경력 1~20년 고졸↑ 정규직·계약직,02/12
2174,AI Full-Stack 개발자[경력],(주)스트라티오코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=52822867&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시,경력 2~20년 고졸↑ 정규직·계약직,02/12
2175,[서울/산업안전솔루션기업] 임베디드 소프트웨어 개발자 채용,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52819164&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울금천구,경력 8~13년 초대졸↑ 정규직,01/30
2176,나주혁신도시 [한전 KDN] 웹 개발자 모집[PHP 개발자],(주)라인정보통신,/zf_user/jobs/relay/view?view_type=search&rec_idx=52820303&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,전남나주시,경력무관 초대졸↑ 파견직,02/13
2177,[서울/중견/제조업]솔루션 개발자,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52841852&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울광진구,경력 3~15년 대졸↑ 정규직,01/30
2178,백엔드 개발자(경력자 우대),(주)비엔제트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52829346&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력2년↑ 학력무관 파견직 (정규직 전환가능)·파견직,02/14
2179,[강남 / IoT 솔루션 기업] 인버터 컴프레서 제어 개발자 경력,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52856392&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울서초구,경력5년↑ 석사↑ 정규직,02/03
2180,[반도체장비대기업]-Slurry개발자,(주)글로벌스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52840548&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기화성시,경력15년↑ 대졸↑ 정규직,01/30
2181,[강남 / IoT 솔루션 기업] 열관리/단열소재 연구 개발자 경력,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52856383&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울서초구,경력5년↑ 석사↑ 정규직,02/03
2182,모바일 앱 보안 서비스 SaaS 개발자 정규직 채용,(주)락인컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=52845891&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 분당구,경력5년↑ 대졸↑ 정규직,01/31
2183,[국내 반도체장비 기업] 반도체 장비 제어 S/W 개발자 채용,(주)리앤파트너,/zf_user/jobs/relay/view?view_type=search&rec_idx=52862978&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기화성시,경력5년↑ 학력무관 정규직,02/03
2184,"[스타트업, 아트테크 핀테크 플랫폼] 풀스택 개발자",리뉴피플 주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52882842&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울영등포구,경력 4~8년 대졸↑ 정규직,02/02
2185,[노르마] 양자분야 암호모듈(PQC)개발자 채용(병역특례가능),(주)노르마,/zf_user/jobs/relay/view?view_type=search&rec_idx=52870472&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울성동구,경력무관 대졸↑ 정규직·계약직,02/19
2186,[경기/변속기 및 엔진시험장비 제조] 완성차 검차라인 SW개발자,(주)탑앤스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52811227&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력3년↑ 초대졸↑ 정규직,01/30
2187,2026년 (주)카르노플릿 인버터 컴프레서 제어 개발자,(주)카르노플릿,/zf_user/jobs/relay/view?view_type=search&rec_idx=52945342&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울서초구,경력5년↑ 석사↑ 정규직,02/10
2188,[국내 유통·IT 솔루션 기업] 백엔드 개발자 (PL),알엔알파트너스그룹,/zf_user/jobs/relay/view?view_type=search&rec_idx=52946106&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 분당구,경력5년↑ 대졸↑ 정규직,02/12
2189,"프론트엔드 개발자 (리더, React.js 5년 이상)",(주)코딧,/zf_user/jobs/relay/view?view_type=search&rec_idx=51067805&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울영등포구,경력5년↑ 학력무관 정규직,01/30
2190,"시니어 백엔드 개발자 (Node.js, 5년 이상)",(주)코딧,/zf_user/jobs/relay/view?view_type=search&rec_idx=51067835&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울영등포구,경력5년↑ 학력무관 정규직,01/30
2191,연구소 AI 개발자 채용,(주)지냅스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52592687&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기성남시 분당구,경력 2~8년 대졸↑ 정규직,01/30
2192,소프트웨어 개발 시니어급 백엔드/풀스택 개발자,(주)디젠트소프트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52456404&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울성동구,경력 7~20년 고졸↑ 정규직,01/31
2193,로봇 프로토타입 개발자 모집,(주)유온로보틱스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52623261&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,대전유성구,경력 3~10년 초대졸↑ 정규직,01/30
2194,주식회사 에이제이투 원도우 소프트웨어 개발자,주식회사 에이제이투,/zf_user/jobs/relay/view?view_type=search&rec_idx=52640291&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,경기용인시 기흥구,경력15년↑ 대졸↑ 정규직,02/21
2195,솔루션 개발자(경력),(주)나루씨큐리티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52519021&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력4년↑ 대졸↑ 정규직,02/07
2196,프론트엔드 개발자(경력) 모집,(주)플랜핏,/zf_user/jobs/relay/view?view_type=search&rec_idx=52494997&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울마포구,경력 3~7년 학력무관 정규직,01/30
2197,백엔드 개발자 채용,송아리아이티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52522837&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,서울강남구,경력5년↑ 대졸↑ 정규직,02/07
2198,(주)더나은 프론트엔드 경력 개발자 모집,(주)더나은,/zf_user/jobs/relay/view?view_type=search&rec_idx=52662624&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0750bfa4-0a24-4d5e-ad42-42ed57f7b397,충북음성군,경력 3~5년 학력무관 정규직,01/30
